"ID","post_author","post_date","post_date_gmt","post_content","post_title","post_excerpt","post_status","comment_status","ping_status","post_password","post_name","to_ping","pinged","post_modified","post_modified_gmt","post_content_filtered","post_parent","guid","menu_order","post_type","post_mime_type","comment_count"
"21","1","2015-07-06 03:34:20","2015-07-06 03:34:20","Is the hijab a feminist statement? - <a href=""http://wp.me/p1N9km-a2"">http://wp.me/p1N9km-a2</a>","Shared from WordPress",,"inherit","open","open",,"20-revision-v1",,,"2015-07-06 03:34:20","2015-07-06 03:34:20",,"20","http://statistquo.com/2015/07/06/20-revision-v1/","0","revision",,"0"
"22","1","2015-07-06 17:35:31","2015-07-06 17:35:31","<a href=""http://www.washingtonpost.com/news/volokh-conspiracy/wp/2015/07/05/the-declaration-of-independence-and-god/"">http://www.washingtonpost.com/news/volokh-conspiracy/wp/2015/07/05/the-declaration-of-independence-and-god/</a>","The Declaration of Independence and God - The Washington Post",,"draft","open","open",,,,,"2015-07-06 17:35:31","2015-07-06 17:35:31",,"0","http://statistquo.com/?p=22","0","post",,"0"
"23","1","2015-07-06 17:35:31","2015-07-06 17:35:31","<a href=""http://www.washingtonpost.com/news/volokh-conspiracy/wp/2015/07/05/the-declaration-of-independence-and-god/"">http://www.washingtonpost.com/news/volokh-conspiracy/wp/2015/07/05/the-declaration-of-independence-and-god/</a>","The Declaration of Independence and God - The Washington Post",,"inherit","open","open",,"22-revision-v1",,,"2015-07-06 17:35:31","2015-07-06 17:35:31",,"22","http://statistquo.com/2015/07/06/22-revision-v1/","0","revision",,"0"
"24","1","2015-07-11 17:10:36","2015-07-11 17:10:36","<a href=""http://www.wsj.com/articles/BL-269B-3824"">http://www.wsj.com/articles/BL-269B-3824</a>","Campbell Brown to Launch Non-Profit Education News Site That Won’t Shy From Advocacy - WSJ",,"draft","open","open",,,,,"2015-07-11 17:10:36","2015-07-11 17:10:36",,"0","http://statistquo.com/?p=24","0","post",,"0"
"25","1","2015-07-11 17:10:36","2015-07-11 17:10:36","<a href=""http://www.wsj.com/articles/BL-269B-3824"">http://www.wsj.com/articles/BL-269B-3824</a>","Campbell Brown to Launch Non-Profit Education News Site That Won’t Shy From Advocacy - WSJ",,"inherit","open","open",,"24-revision-v1",,,"2015-07-11 17:10:36","2015-07-11 17:10:36",,"24","http://statistquo.com/2015/07/11/24-revision-v1/","0","revision",,"0"
"26","1","2015-07-14 06:21:50","2015-07-14 06:21:50","<a href=""http://www.stephenhicks.org/#article/31060"">http://www.stephenhicks.org/#article/31060</a>","Stephen Hicks, Ph.D.",,"publish","open","open",,"stephen-hicks-ph-d",,,"2015-07-14 06:21:50","2015-07-14 06:21:50",,"0","http://statistquo.com/?p=26","0","post",,"0"
"27","1","2015-07-14 06:21:50","2015-07-14 06:21:50","<a href=""http://www.stephenhicks.org/#article/31060"">http://www.stephenhicks.org/#article/31060</a>","Stephen Hicks, Ph.D.",,"inherit","open","open",,"26-revision-v1",,,"2015-07-14 06:21:50","2015-07-14 06:21:50",,"26","http://statistquo.com/2015/07/14/26-revision-v1/","0","revision",,"0"
"28","1","2015-08-04 00:16:44","2015-08-04 00:16:44","""A rational approach would simply be to harness capitalism and put a global, uniform price on carbon, refunding the revenue with tax cuts that spur growth. Simple, easy. Make it go global with a border tax adjustment.""

What is scary here is the total misunderstanding or denial of capitalism when the commenter says ""harness capitalism and put...""

It has never occurred to most people, I think, that capitalism means that you stop putting harnesses on people. It mean free and unrestricted trade. It does not mean taxes, and price fixing. 

http://www.wsj.com/articles/the-unsettling-anti-science-certitude-on-global-warming-1438300982",,,"publish","open","open",,"28",,,"2015-08-04 00:16:44","2015-08-04 00:16:44",,"0","http://statistquo.com/?p=28","0","post",,"0"
"29","1","2015-08-04 00:16:44","2015-08-04 00:16:44","""A rational approach would simply be to harness capitalism and put a global, uniform price on carbon, refunding the revenue with tax cuts that spur growth. Simple, easy. Make it go global with a border tax adjustment.""

What is scary here is the total misunderstanding or denial of capitalism when the commenter says ""harness capitalism and put...""

It has never occurred to most people, I think, that capitalism means that you stop putting harnesses on people. It mean free and unrestricted trade. It does not mean taxes, and price fixing. 

http://www.wsj.com/articles/the-unsettling-anti-science-certitude-on-global-warming-1438300982",,,"inherit","open","open",,"28-revision-v1",,,"2015-08-04 00:16:44","2015-08-04 00:16:44",,"28","http://statistquo.com/2015/08/04/28-revision-v1/","0","revision",,"0"
"30","1","2015-08-05 06:26:50","2015-08-05 06:26:50","I know what my left-leaning net-neutrality friends are thinking: ""Why can't the U.S. be more proactive like this? They could protect privacy, stop kiddy porn and the spreading of unwanted political rumors.""

<a href=""http://nr.news-republic.com/Web/ArticleWeb.aspx?regionid=1&articleid=45936702&source=wordpress"">http://nr.news-republic.com/Web/ArticleWeb.aspx?regionid=1&articleid=45936702&source=wordpress</a>","China to put security teams in major Internet firms, websites",,"publish","open","open",,"china-to-put-security-teams-in-major-internet-firms-websites",,,"2015-08-05 06:26:50","2015-08-05 06:26:50",,"0","http://statistquo.com/?p=30","0","post",,"0"
"31","1","2015-08-05 06:26:50","2015-08-05 06:26:50","I know what my left-leaning net-neutrality friends are thinking: ""Why can't the U.S. be more proactive like this? They could protect privacy, stop kiddy porn and the spreading of unwanted political rumors.""

<a href=""http://nr.news-republic.com/Web/ArticleWeb.aspx?regionid=1&articleid=45936702&source=wordpress"">http://nr.news-republic.com/Web/ArticleWeb.aspx?regionid=1&articleid=45936702&source=wordpress</a>","China to put security teams in major Internet firms, websites",,"inherit","open","open",,"30-revision-v1",,,"2015-08-05 06:26:50","2015-08-05 06:26:50",,"30","http://statistquo.com/2015/08/05/30-revision-v1/","0","revision",,"0"
"32","1","2015-09-02 06:18:08","2015-09-02 06:18:08","<a href=""http://www.nytimes.com/politics/first-draft/2015/09/01/james-okeefe-to-step-up-political-stalking/"">http://www.nytimes.com/politics/first-draft/2015/09/01/james-okeefe-to-step-up-political-stalking/</a>","Undercover Activist James O'Keefe Plans to Step Up Political Stalking - First Draft. Political News, Now. - The New York Times",,"publish","open","open",,"undercover-activist-james-okeefe-plans-to-step-up-political-stalking-first-draft-political-news-now-the-new-york-times",,,"2015-09-02 06:18:08","2015-09-02 06:18:08",,"0","http://statistquo.com/?p=32","0","post",,"0"
"33","1","2015-09-02 06:18:08","2015-09-02 06:18:08","<a href=""http://www.nytimes.com/politics/first-draft/2015/09/01/james-okeefe-to-step-up-political-stalking/"">http://www.nytimes.com/politics/first-draft/2015/09/01/james-okeefe-to-step-up-political-stalking/</a>","Undercover Activist James O'Keefe Plans to Step Up Political Stalking - First Draft. Political News, Now. - The New York Times",,"inherit","open","open",,"32-revision-v1",,,"2015-09-02 06:18:08","2015-09-02 06:18:08",,"32","http://statistquo.com/2015/09/02/32-revision-v1/","0","revision",,"0"
"34","1","2015-09-19 01:14:18","2015-09-19 01:14:18","<a href=""https://mises.org/blog/i-want-be-consumer"">https://mises.org/blog/i-want-be-consumer</a>","Mises Wire | Mises Institute",,"publish","open","open",,"mises-wire-mises-institute",,,"2015-09-19 01:14:18","2015-09-19 01:14:18",,"0","http://statistquo.com/?p=34","0","post",,"0"
"35","1","2015-09-19 01:14:18","2015-09-19 01:14:18","<a href=""https://mises.org/blog/i-want-be-consumer"">https://mises.org/blog/i-want-be-consumer</a>","Mises Wire | Mises Institute",,"inherit","open","open",,"34-revision-v1",,,"2015-09-19 01:14:18","2015-09-19 01:14:18",,"34","http://statistquo.com/2015/09/19/34-revision-v1/","0","revision",,"0"
"36","1","2015-10-08 06:28:25","2015-10-08 06:28:25","U.S. government spying is hurting U.S.businesses, especially the smaller ones.

<blockquote> the European Court of Justice (ECJ) said the provisions used by more than 4,000 firms did not give Europeans sufficient protection against U.S. government access.</blockquote>

<a href=""http://mobile.reuters.com/article/idUSKCN0S12TL20151008"">http://mobile.reuters.com/article/idUSKCN0S12TL20151008</a>","Smaller U.S. businesses fear freeze from EU privacy ruling | Reuters",,"publish","open","open",,"smaller-u-s-businesses-fear-freeze-from-eu-privacy-ruling-reuters",,,"2015-10-08 06:30:29","2015-10-08 06:30:29",,"0","http://statistquo.com/?p=36","0","post",,"0"
"37","1","2015-10-08 06:28:25","2015-10-08 06:28:25","U.S. government spying is hurting U.S.businesses, especially the smaller ones. 

<a href=""http://mobile.reuters.com/article/idUSKCN0S12TL20151008"">http://mobile.reuters.com/article/idUSKCN0S12TL20151008</a>","Smaller U.S. businesses fear freeze from EU privacy ruling | Reuters",,"inherit","open","open",,"36-revision-v1",,,"2015-10-08 06:28:25","2015-10-08 06:28:25",,"36","http://statistquo.com/2015/10/08/36-revision-v1/","0","revision",,"0"
"38","1","2015-10-08 06:30:29","2015-10-08 06:30:29","U.S. government spying is hurting U.S.businesses, especially the smaller ones.

<blockquote> the European Court of Justice (ECJ) said the provisions used by more than 4,000 firms did not give Europeans sufficient protection against U.S. government access.</blockquote>

<a href=""http://mobile.reuters.com/article/idUSKCN0S12TL20151008"">http://mobile.reuters.com/article/idUSKCN0S12TL20151008</a>","Smaller U.S. businesses fear freeze from EU privacy ruling | Reuters",,"inherit","open","open",,"36-revision-v1",,,"2015-10-08 06:30:29","2015-10-08 06:30:29",,"36","http://statistquo.com/2015/10/08/36-revision-v1/","0","revision",,"0"
"39","1","2015-10-12 21:40:33","2015-10-12 21:40:33","The thought-leaders in economics say that equality of wealth is the given, and that inequality must be explained. 

<a href=""http://www.theguardian.com/business/2015/oct/12/angus-deaton-wins-nobel-prize-in-economics"">http://www.theguardian.com/business/2015/oct/12/angus-deaton-wins-nobel-prize-in-economics</a>","Angus Deaton wins Nobel prize in economics | Business | The Guardian",,"publish","open","open",,"angus-deaton-wins-nobel-prize-in-economics-business-the-guardian",,,"2015-10-12 21:40:33","2015-10-12 21:40:33",,"0","http://statistquo.com/?p=39","0","post",,"0"
"40","1","2015-10-12 21:40:33","2015-10-12 21:40:33","The thought-leaders in economics say that equality of wealth is the given, and that inequality must be explained. 

<a href=""http://www.theguardian.com/business/2015/oct/12/angus-deaton-wins-nobel-prize-in-economics"">http://www.theguardian.com/business/2015/oct/12/angus-deaton-wins-nobel-prize-in-economics</a>","Angus Deaton wins Nobel prize in economics | Business | The Guardian",,"inherit","open","open",,"39-revision-v1",,,"2015-10-12 21:40:33","2015-10-12 21:40:33",,"39","http://statistquo.com/2015/10/12/39-revision-v1/","0","revision",,"0"
"41","1","2015-10-14 18:30:41","2015-10-14 18:30:41","Nations are guided by thought leaders. Where have they lead us? Who are they? What are the leading thoughts? 

We are not guided by the masses. This is an excuse made by the thought leaders when their plans fail. 

The average man is not a thought leader. 

Most of us don't take the time to inspect the foundations of our thinking. Most of us don't take the time to examine the rules, codes and guidelines we live by. If you look around at the man on the street you are looking mostly at followers. Most of us are followers, and even among the leaders they are followers for most of their lives.","Thought Leaders",,"draft","open","open",,,,,"2015-10-14 18:30:41","2015-10-14 18:30:41",,"0","http://statistquo.com/?p=41","0","post",,"0"
"42","1","2015-10-14 18:30:41","2015-10-14 18:30:41","Nations are guided by thought leaders. Where have they lead us? Who are they? What are the leading thoughts? 

We are not guided by the masses. This is an excuse made by the thought leaders when their plans fail. 

The average man is not a thought leader. 

Most of us don't take the time to inspect the foundations of our thinking. Most of us don't take the time to examine the rules, codes and guidelines we live by. If you look around at the man on the street you are looking mostly at followers. Most of us are followers, and even among the leaders they are followers for most of their lives.","Thought Leaders",,"inherit","open","open",,"41-revision-v1",,,"2015-10-14 18:30:41","2015-10-14 18:30:41",,"41","http://statistquo.com/2015/10/14/41-revision-v1/","0","revision",,"0"
"43","1","2015-10-14 21:53:32","2015-10-14 21:53:32","<a href=""http://newsbusters.org/blogs/nb/jeffrey-meyer/2015/10/14/joy-behar-declares-im-aroused-hot-bernie-sanders"">http://newsbusters.org/blogs/nb/jeffrey-meyer/2015/10/14/joy-behar-declares-im-aroused-hot-bernie-sanders</a>","Joy Behar Declares ‘I’m Aroused’ by ‘Hot’ Bernie Sanders",,"publish","open","open",,"joy-behar-declares-im-aroused-by-hot-bernie-sanders",,,"2015-10-14 21:53:32","2015-10-14 21:53:32",,"0","http://statistquo.com/?p=43","0","post",,"0"
"44","1","2015-10-14 21:53:32","2015-10-14 21:53:32","<a href=""http://newsbusters.org/blogs/nb/jeffrey-meyer/2015/10/14/joy-behar-declares-im-aroused-hot-bernie-sanders"">http://newsbusters.org/blogs/nb/jeffrey-meyer/2015/10/14/joy-behar-declares-im-aroused-hot-bernie-sanders</a>","Joy Behar Declares ‘I’m Aroused’ by ‘Hot’ Bernie Sanders",,"inherit","open","open",,"43-revision-v1",,,"2015-10-14 21:53:32","2015-10-14 21:53:32",,"43","http://statistquo.com/2015/10/14/43-revision-v1/","0","revision",,"0"
"45","1","2015-10-15 06:59:45","2015-10-15 06:59:45","<a href=""http://www.sunshinestatenews.com/story/bullying-ben-carson-coddling-democrats"">http://www.sunshinestatenews.com/story/bullying-ben-carson-coddling-democrats</a>","Bullying Ben Carson, Coddling Democrats | Sunshine State News | Florida Political News",,"publish","open","open",,"bullying-ben-carson-coddling-democrats-sunshine-state-news-florida-political-news",,,"2015-10-15 06:59:45","2015-10-15 06:59:45",,"0","http://statistquo.com/?p=45","0","post",,"0"
"46","1","2015-10-15 06:59:45","2015-10-15 06:59:45","<a href=""http://www.sunshinestatenews.com/story/bullying-ben-carson-coddling-democrats"">http://www.sunshinestatenews.com/story/bullying-ben-carson-coddling-democrats</a>","Bullying Ben Carson, Coddling Democrats | Sunshine State News | Florida Political News",,"inherit","open","open",,"45-revision-v1",,,"2015-10-15 06:59:45","2015-10-15 06:59:45",,"45","http://statistquo.com/2015/10/15/45-revision-v1/","0","revision",,"0"
"47","1","2015-10-15 14:20:58","2015-10-15 14:20:58","The reason this happened is not because black people are bad or deserve this treatment. 

It is because the anti-capitalist policies of the left don't work, have never worked, and will continue to not work. 

This is caused by blind faith in the Statist Quo. 

<a href=""http://newsbusters.org/blogs/noel-sheppard/2013/10/11/tavis-smiley-black-people-will-have-lost-ground-every-single-economic"">http://newsbusters.org/blogs/noel-sheppard/2013/10/11/tavis-smiley-black-people-will-have-lost-ground-every-single-economic</a>","Tavis Smiley: 'Black People Will Have Lost Ground in Every Single Economic Indicator' Under Obama",,"publish","open","open",,"tavis-smiley-black-people-will-have-lost-ground-in-every-single-economic-indicator-under-obama",,,"2015-10-15 14:22:31","2015-10-15 14:22:31",,"0","http://statistquo.com/?p=47","0","post",,"0"
"48","1","2015-10-15 14:20:58","2015-10-15 14:20:58","The reason this happened is not because black people are bad or deserve this treatment. 

It is because the policies of the left don't work, have never worked, and will continue to not work. 

This is caused by blind faith in the Statist Quo. 

<a href=""http://newsbusters.org/blogs/noel-sheppard/2013/10/11/tavis-smiley-black-people-will-have-lost-ground-every-single-economic"">http://newsbusters.org/blogs/noel-sheppard/2013/10/11/tavis-smiley-black-people-will-have-lost-ground-every-single-economic</a>","Tavis Smiley: 'Black People Will Have Lost Ground in Every Single Economic Indicator' Under Obama",,"inherit","open","open",,"47-revision-v1",,,"2015-10-15 14:20:58","2015-10-15 14:20:58",,"47","http://statistquo.com/2015/10/15/47-revision-v1/","0","revision",,"0"
"49","1","2015-10-15 14:22:31","2015-10-15 14:22:31","The reason this happened is not because black people are bad or deserve this treatment. 

It is because the anti-capitalist policies of the left don't work, have never worked, and will continue to not work. 

This is caused by blind faith in the Statist Quo. 

<a href=""http://newsbusters.org/blogs/noel-sheppard/2013/10/11/tavis-smiley-black-people-will-have-lost-ground-every-single-economic"">http://newsbusters.org/blogs/noel-sheppard/2013/10/11/tavis-smiley-black-people-will-have-lost-ground-every-single-economic</a>","Tavis Smiley: 'Black People Will Have Lost Ground in Every Single Economic Indicator' Under Obama",,"inherit","open","open",,"47-revision-v1",,,"2015-10-15 14:22:31","2015-10-15 14:22:31",,"47","http://statistquo.com/2015/10/15/47-revision-v1/","0","revision",,"0"
"50","1","2015-10-15 14:49:30","2015-10-15 14:49:30","Restrictions on commerce drive struggling individuals underground. 

The Guardian: I'm a sex trafficking survivor. America's laws won't let me leave my past behind. <a href=""http://google.com/newsstand/s/CBIw-em6jSY"">http://google.com/newsstand/s/CBIw-em6jSY</a>","The Guardian: I'm a sex trafficking survivor. America's laws won't let me leave my past behind",,"publish","open","open",,"the-guardian-im-a-sex-trafficking-survivor-americas-laws-wont-let-me-leave-my-past-behind",,,"2015-10-15 14:49:30","2015-10-15 14:49:30",,"0","http://statistquo.com/?p=50","0","post",,"0"
"51","1","2015-10-15 14:49:30","2015-10-15 14:49:30","Restrictions on commerce drive struggling individuals underground. 

The Guardian: I'm a sex trafficking survivor. America's laws won't let me leave my past behind. <a href=""http://google.com/newsstand/s/CBIw-em6jSY"">http://google.com/newsstand/s/CBIw-em6jSY</a>","The Guardian: I'm a sex trafficking survivor. America's laws won't let me leave my past behind",,"inherit","open","open",,"50-revision-v1",,,"2015-10-15 14:49:30","2015-10-15 14:49:30",,"50","http://statistquo.com/2015/10/15/50-revision-v1/","0","revision",,"0"
"52","1","2015-10-15 15:09:57","2015-10-15 15:09:57","A valuable account of the ideas behind the choices. 

The corruption comes from the source. Sarah chairs says the source is the tip, the head, the leader of State. 

But the corruption that flows out is the negation of individual allocation of scarce resources. 

Excellent explanation of American riots in reason as a basis for govt. Ch 11.

The author goes through a list of fixes that can be implemented, some of them good some bad, but all directed at reducing corruption, but the type of corruption she is talking about is not adequately defined. 

http://www.amazon.com/Thieves-State-Corruption-Threatens-Security/dp/0393239462","""Thieves of State""",,"draft","open","open",,,,,"2015-10-19 03:06:14","2015-10-19 03:06:14",,"0","http://statistquo.com/?p=52","0","post",,"0"
"53","1","2015-10-15 15:09:57","2015-10-15 15:09:57","A valuable account of the ideas behind the choices. 

http://www.amazon.com/Thieves-State-Corruption-Threatens-Security/dp/0393239462","""Thieves of State""",,"inherit","open","open",,"52-revision-v1",,,"2015-10-15 15:09:57","2015-10-15 15:09:57",,"52","http://statistquo.com/2015/10/15/52-revision-v1/","0","revision",,"0"
"56","1","2015-10-16 14:35:15","2015-10-16 14:35:15","<a href=""http://mobile.reuters.com/article/idUSKCN0S12TL20151008"">http://mobile.reuters.com/article/idUSKCN0S12TL20151008</a>","Smaller U.S. businesses fear freeze from EU privacy ruling | Reuters",,"publish","open","open",,"smaller-u-s-businesses-fear-freeze-from-eu-privacy-ruling-reuters-2",,,"2015-10-16 14:35:15","2015-10-16 14:35:15",,"0","http://statistquo.com/?p=56","0","post",,"0"
"57","1","2015-10-16 14:35:15","2015-10-16 14:35:15","<a href=""http://mobile.reuters.com/article/idUSKCN0S12TL20151008"">http://mobile.reuters.com/article/idUSKCN0S12TL20151008</a>","Smaller U.S. businesses fear freeze from EU privacy ruling | Reuters",,"inherit","open","open",,"56-revision-v1",,,"2015-10-16 14:35:15","2015-10-16 14:35:15",,"56","http://statistquo.com/2015/10/16/56-revision-v1/","0","revision",,"0"
"58","1","2015-10-16 14:37:46","2015-10-16 14:37:46","A valuable account of the ideas behind the choices. 

Excellent explanation of American riots in reason as a basis for govt. 

http://www.amazon.com/Thieves-State-Corruption-Threatens-Security/dp/0393239462","""Thieves of State""",,"inherit","open","open",,"52-revision-v1",,,"2015-10-16 14:37:46","2015-10-16 14:37:46",,"52","http://statistquo.com/2015/10/16/52-revision-v1/","0","revision",,"0"
